collaborative name,African American,Asian,Hispanic,Native American,White,"Native Hawaiian, Pacific Islander","Multi-Race, Non-Hispanic",Female,Male,Non-Binary
ACCEPT Education Collaborative,8.3,9.2,15.8,0,61.7,0,5,49,71,0
Assabet Valley Collaborative,2,3,20,0,64,0,11,31,68,1
Bi-County Collaborative,8,1.9,11.8,0,72.6,0,5.7,48,164,0
CASE Collaborative,4,13.9,16.8,0,61.4,0,4,30,71,0
CAPS Education Collaborative,6.8,2.3,19.5,0.8,67.7,0,3,42,91,0
Cape Cod Collaborative,7.8,0,10.8,2,63.7,1,14.7,14,88,0
Central Massachusetts SPED Collaborative,14.9,1.2,46.9,0.4,28.6,0,7.9,111,371,0
Collaborative for Educational Services,6.1,0,21.2,0,72.7,0,0,11,21,1
Collaborative for Regional Educational Service and Training (CREST) ,5.3,4.7,30,0,56.5,0,3.5,36,134,0
Keystone Educational Collaborative,11.4,3.3,38.2,0,43.9,0,3.3,31,92,0
LABBB Collaborative,6.3,8,5.6,0.3,73.1,0.7,5.9,92,194,0
Lower Pioneer Valley Educational Collaborative,1.8,1.8,23.2,0,66.1,0,7.1,15,41,0
North River Collaborative,17.3,1.2,11.1,0,66.7,0,3.7,30,51,0
Northshore Education Consortium,5,1.3,17,0.3,72.3,0,4.2,101,281,0
Pilgrim Area Collaborative (PAC),2.5,0.8,6.7,0,85.7,0,4.2,35,84,0
READS Collaborative,6.7,3,11.2,0.7,72.4,0.7,5.2,46,88,0
SEEM Collaborative,12.3,2.9,31.5,0.4,48.9,0,4,64,212,0
Shore Educational Collaborative,13.3,1.2,57.2,0,24.7,0,3.6,33,133,0
South Coast Educational Collaborative,10.3,1.5,12.3,0,73,0,2.9,35,169,0
South Shore Educational Collaborative,12.3,7,7.3,0,69.9,0.3,3.2,102,240,0
Southeastern Mass. Educational Collaborative (SMEC) ,4.7,0,20.3,1.6,71.9,0,1.6,20,44,0
Southern Worcester County Educational Collaborative,4.5,0,20.5,0,74.1,0,0.9,19,93,0
The Education Cooperative (TEC),9.5,4.8,19,0,65.5,0,1.2,31,53,0
Valley Collaborative,6.8,1.7,13.6,0.4,71.9,0,5.5,46,188,1